"County","State","Outbreak Date","Flock Type","Flock Size"
"Canyon","Idaho","05-18-2022","WOAH Non-Poultry","10"
"Clay","Minnesota","05-18-2022","WOAH Non-Poultry","20"
"Canyon","Idaho","05-18-2022","WOAH Poultry","160"
"Ada","Idaho","05-18-2022","WOAH Non-Poultry","6"
"Canyon","Idaho","05-18-2022","WOAH Poultry","6"
"Berks","Pennsylvania","05-18-2022","Commercial Duck Breeder","7200"
"Kandiyohi","Minnesota","05-18-2022","Commercial Turkey Breeder Toms","4700"
"Ada","Idaho","05-17-2022","WOAH Poultry","9"
"Canyon","Idaho","05-17-2022","WOAH Poultry","30"
"Thurston","Washington","05-17-2022","WOAH Non-Poultry","410"
"Monmouth","New Jersey","05-17-2022","WOAH Poultry","60"
"Canyon","Idaho","05-17-2022","WOAH Poultry","30"
"Lane","Oregon","05-17-2022","WOAH Poultry","450"
"Salt Lake","Utah","05-17-2022","WOAH Non-Poultry","30"
"Ada","Idaho","05-17-2022","WOAH Non-Poultry","20"
"Berks","Pennsylvania","05-17-2022","Commercial Table Egg Layer","79000"
"Boone","Illinois","05-17-2022","WOAH Non-Poultry","20"
"Burke","North Dakota","05-17-2022","WOAH Non-Poultry","50"
"Canyon","Idaho","05-17-2022","WOAH Non-Poultry","50"
"Dunn","Wisconsin","05-16-2022","WOAH Non-Poultry","150"
"Berks","Pennsylvania","05-14-2022","Commercial Table Egg Breeder","83700"
"Ada","Idaho","05-13-2022","WOAH Non-Poultry","60"
"Canyon","Idaho","05-13-2022","WOAH Non-Poultry","9"
"Lincoln","Wyoming","05-13-2022","WOAH Non-Poultry","40"
"Barron","Wisconsin","05-13-2022","Commercial Turkey Meat Bird","10500"
"Marinette","Wisconsin","05-13-2022","WOAH Non-Poultry","90"
"Sheridan","Wyoming","05-13-2022","WOAH Non-Poultry","20"
